filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
53057,0.41042548,2342.456045,1774.460868,4062.10264,0.07295377,0.168294271,Maher_AlMuaiqly,Al-Najm,27
53058,0.35919514,2266.55601,1759.055855,4019.240821,0.07879499,0.152518741,Maher_AlMuaiqly,Al-Najm,27
53059,0.32489467,1970.51947,1668.948463,3600.294896,0.07149332,0.127066201,Maher_AlMuaiqly,Al-Najm,27
53060,0.36982062,1944.836324,1630.933212,3780.144109,0.07354471,0.125686233,Maher_AlMuaiqly,Al-Najm,27
53061,0.33989602,2116.7188,1741.057729,3936.441797,0.06914303,0.14153125,Maher_AlMuaiqly,Al-Najm,27
53062,0.33637476,1841.355237,1673.058507,3691.170294,0.051938962,0.110201749,Maher_AlMuaiqly,Al-Najm,27
54001,0.34648284,2214.841233,1797.388365,4048.827329,0.05847807,0.147322945,Maher_AlMuaiqly,Al-Kamar,27
54002,0.3332283,2129.460252,1776.402409,3926.804937,0.060118716,0.141147347,Maher_AlMuaiqly,Al-Kamar,27
54003,0.32442266,1849.012974,1634.2364,3553.649222,0.05386041,0.12029489,Maher_AlMuaiqly,Al-Kamar,27
54004,0.3457544,2103.12685,1684.724311,3802.599087,0.0692985,0.149064179,Maher_AlMuaiqly,Al-Kamar,27
54005,0.3328946,1947.316426,1719.351818,3597.753085,0.059156574,0.123845027,Maher_AlMuaiqly,Al-Kamar,27
54006,0.3330223,2034.698111,1656.744509,3747.543347,0.06272809,0.129348212,Maher_AlMuaiqly,Al-Kamar,27
54007,0.33019504,2190.535905,1790.55313,4057.840565,0.06598744,0.144012899,Maher_AlMuaiqly,Al-Kamar,27
54008,0.3683704,2159.19114,1706.383423,3875.513935,0.063881345,0.151288986,Maher_AlMuaiqly,Al-Kamar,27
54009,0.33764523,2005.299837,1706.008167,3747.660996,0.06221691,0.131499519,Maher_AlMuaiqly,Al-Kamar,27
54010,0.29150468,1908.252257,1786.407454,3704.496821,0.065206476,0.110412152,Maher_AlMuaiqly,Al-Kamar,27
54011,0.36179027,2116.186586,1701.41705,3831.43315,0.06975497,0.147358698,Maher_AlMuaiqly,Al-Kamar,27
54012,0.3497766,1968.476327,1632.938943,3699.43803,0.07354933,0.132171232,Maher_AlMuaiqly,Al-Kamar,27
54013,0.34310114,2121.541399,1789.06762,3948.96949,0.07151193,0.139454175,Maher_AlMuaiqly,Al-Kamar,27
54014,0.3390585,2165.769809,1737.403593,3929.723092,0.07230966,0.146339263,Maher_AlMuaiqly,Al-Kamar,27
54015,0.32701412,1998.023009,1647.191953,3699.803368,0.075878315,0.133626931,Maher_AlMuaiqly,Al-Kamar,27
54016,0.34067777,2048.480042,1682.242331,3727.787432,0.07288495,0.136695682,Maher_AlMuaiqly,Al-Kamar,27
54017,0.34812492,2124.132937,1761.723483,3878.51503,0.061155785,0.136782266,Maher_AlMuaiqly,Al-Kamar,27
54018,0.33063307,2017.869606,1696.307422,3729.795477,0.066938885,0.127703303,Maher_AlMuaiqly,Al-Kamar,27
54019,0.330083,2266.057518,1856.887563,4087.086835,0.07333456,0.148458774,Maher_AlMuaiqly,Al-Kamar,27
54020,0.2991442,2070.257589,1756.736662,3803.016076,0.072903,0.124878377,Maher_AlMuaiqly,Al-Kamar,27
54021,0.34207526,2058.85528,1682.028062,3731.656602,0.07275984,0.136621812,Maher_AlMuaiqly,Al-Kamar,27
54022,0.34327978,1988.087,1668.450209,3712.48233,0.056002658,0.125225361,Maher_AlMuaiqly,Al-Kamar,27
54023,0.29767928,2040.786154,1765.444133,3721.768309,0.061473377,0.13028651,Maher_AlMuaiqly,Al-Kamar,27
